core,arm,structure,seed,value
MACE,O(3),mp-15567,1,1.281519502398124e-06
MACE,O(3),mp-755225,1,1.598532900172705e-06
MACE,O(3),mp-7437,1,5.856674125093245e-07
MACE,O(3),mp-755925,1,1.344698390182081e-06
MACE,O(3),mp-1209810,2,1.0298173272515295e-06
MACE,O(3),mp-694931,2,9.606947330903261e-07
MACE,O(3),mp-1111628,2,4.5965364453299903e-07
MACE,O(3),mp-1188923,2,6.494768350252717e-07
MACE,O(3),mp-1182484,2,1.140272700506027e-06
MACE,O(3),mp-11641,2,1.2822936011062522e-06
MACE,O(3),mp-677242,2,8.395026971423633e-07
MACE,O(3),mp-5767,2,3.393373995869101e-07
MACE,O(3),mp-1213705,2,1.1828674722326002e-06
MACE,O(3),mp-1227053,2,6.260130823207793e-07
MACE,O(3),mp-1174267,2,1.6191999007913964e-06
MACE,O(3),mp-766486,2,6.437301867482569e-07
MACE,O(3),mp-754349,2,5.187622024851772e-07
MACE,O(3),mp-1223924,2,5.236553113409718e-07
MACE,O(3),mp-1025162,2,3.6073450754241107e-07
MACE,O(3),mp-19965,2,1.1073811239247162e-06
MACE,O(3),mp-15567,2,2.178147196298381e-06
MACE,O(3),mp-755225,2,1.297725028982418e-06
MACE,O(3),mp-7437,2,2.4537408555232147e-07
MACE,O(3),mp-755925,2,1.5555986639103627e-06
MACE,SO(3),mp-1209810,0,0.7051790665424823
MACE,SO(3),mp-694931,0,0.3094018828717316
MACE,SO(3),mp-1111628,0,0.08612481224315939
MACE,SO(3),mp-1188923,0,0.2649120976693159
MACE,SO(3),mp-1182484,0,0.7845662139456044
MACE,SO(3),mp-11641,0,0.5300599370902122
MACE,SO(3),mp-677242,0,0.5092243942173544
MACE,SO(3),mp-5767,0,0.4997159740070394
MACE,SO(3),mp-1213705,0,0.8070823157991109
MACE,SO(3),mp-1227053,0,0.1614495220229254
MACE,SO(3),mp-1174267,0,0.5575168236462196
MACE,SO(3),mp-766486,0,0.4147207649695716
MACE,SO(3),mp-754349,0,0.684261756877617
MACE,SO(3),mp-1223924,0,0.7216618962519521
MACE,SO(3),mp-1025162,0,0.14779889763357168
MACE,SO(3),mp-19965,0,0.44539315304802174
MACE,SO(3),mp-15567,0,0.6790797600919559
MACE,SO(3),mp-755225,0,0.6656607205715954
MACE,SO(3),mp-7437,0,0.5474120811106971
MACE,SO(3),mp-755925,0,0.7224896260689623
MACE,SO(3),mp-1209810,1,0.5745375086527144
MACE,SO(3),mp-694931,1,0.28118299494952814
MACE,SO(3),mp-1111628,1,0.1463389977873834
MACE,SO(3),mp-1188923,1,0.43305110837780947
MACE,SO(3),mp-1182484,1,0.5984754982612984
MACE,SO(3),mp-11641,1,0.6223402696659384
MACE,SO(3),mp-677242,1,0.5314362701179051
MACE,SO(3),mp-5767,1,0.7378652930804935
MACE,SO(3),mp-1213705,1,0.7631892808963379
MACE,SO(3),mp-1227053,1,0.16645709657040975
MACE,SO(3),mp-1174267,1,0.4011490411618561
MACE,SO(3),mp-766486,1,0.38559600455204707
MACE,SO(3),mp-754349,1,0.7021933116916722
MACE,SO(3),mp-1223924,1,0.3860559196498945
MACE,SO(3),mp-1025162,1,0.5514030487804177
MACE,SO(3),mp-19965,1,0.2077406594653381
MACE,SO(3),mp-15567,1,0.6069707905259792
MACE,SO(3),mp-755225,1,0.647882554334933
MACE,SO(3),mp-7437,1,0.35518052802766703
MACE,SO(3),mp-755925,1,0.7458288666757387
MACE,SO(3),mp-1209810,2,0.5314734851638392
MACE,SO(3),mp-694931,2,0.3857176904392972
MACE,SO(3),mp-1111628,2,0.2681258900410132
MACE,SO(3),mp-1188923,2,0.3702606116221548
MACE,SO(3),mp-1182484,2,0.604830587693282
MACE,SO(3),mp-11641,2,0.6635126191397475
MACE,SO(3),mp-677242,2,0.6164415428380943
