epoch,core,seed,false_flag
46,allegro,2,0.892
47,allegro,2,0.893
48,allegro,2,0.8915
49,allegro,2,0.8905
50,allegro,2,0.892
51,allegro,2,0.8915
52,allegro,2,0.8935
53,allegro,2,0.895
54,allegro,2,0.8955
55,allegro,2,0.9005
56,allegro,2,0.894
57,allegro,2,0.9005
58,allegro,2,0.902
59,allegro,2,0.9
60,allegro,2,0.9015
61,allegro,2,0.8985
62,allegro,2,0.9
63,allegro,2,0.9035
64,allegro,2,0.901
65,allegro,2,0.902
66,allegro,2,0.901
67,allegro,2,0.9015
68,allegro,2,0.9005
69,allegro,2,0.9015
70,allegro,2,0.902
71,allegro,2,0.901
72,allegro,2,0.903
73,allegro,2,0.902
74,allegro,2,0.9015
75,allegro,2,0.9015
76,allegro,2,0.902
77,allegro,2,0.902
78,allegro,2,0.9
79,allegro,2,0.9045
80,allegro,2,0.8995
81,allegro,2,0.9
82,allegro,2,0.9005
83,allegro,2,0.9025
84,allegro,2,0.9055
85,allegro,2,0.903
86,allegro,2,0.903
87,allegro,2,0.9045
88,allegro,2,0.9035
89,allegro,2,0.903
90,allegro,2,0.902
91,allegro,2,0.9025
92,allegro,2,0.904
93,allegro,2,0.9045
94,allegro,2,0.9045
95,allegro,2,0.905
96,allegro,2,0.904
97,allegro,2,0.9045
98,allegro,2,0.906
99,allegro,2,0.9035
100,allegro,2,0.906
101,allegro,2,0.9065
102,allegro,2,0.9045
103,allegro,2,0.905
104,allegro,2,0.904
105,allegro,2,0.904
106,allegro,2,0.906
107,allegro,2,0.908
108,allegro,2,0.907
109,allegro,2,0.906
110,allegro,2,0.907
111,allegro,2,0.907
112,allegro,2,0.9085
113,allegro,2,0.9065
114,allegro,2,0.906
115,allegro,2,0.9045
116,allegro,2,0.9075
117,allegro,2,0.909
118,allegro,2,0.906
119,allegro,2,0.9055
120,allegro,2,0.906
121,allegro,2,0.906
122,allegro,2,0.9065
123,allegro,2,0.906
124,allegro,2,0.9075
125,allegro,2,0.908
126,allegro,2,0.9075
127,allegro,2,0.9085
128,allegro,2,0.9065
129,allegro,2,0.908
130,allegro,2,0.9065
131,allegro,2,0.909
132,allegro,2,0.9075
133,allegro,2,0.906
134,allegro,2,0.91
135,allegro,2,0.907
136,allegro,2,0.907
137,allegro,2,0.905
138,allegro,2,0.9055
139,allegro,2,0.907
140,allegro,2,0.907
141,allegro,2,0.908
142,allegro,2,0.909
143,allegro,2,0.91
144,allegro,2,0.907
145,allegro,2,0.9095
146,allegro,2,0.9065
147,allegro,2,0.909
148,allegro,2,0.9075
149,allegro,2,0.9095
150,allegro,2,0.9075
1,equiformer_v2,0,0.8225
2,equiformer_v2,0,0.762
3,equiformer_v2,0,0.779
4,equiformer_v2,0,0.8205
5,equiformer_v2,0,0.819
6,equiformer_v2,0,0.8315
7,equiformer_v2,0,0.82
8,equiformer_v2,0,0.7765
9,equiformer_v2,0,0.7565
10,equiformer_v2,0,0.3415
11,equiformer_v2,0,0.4755
12,equiformer_v2,0,0.7675
13,equiformer_v2,0,0.612
14,equiformer_v2,0,0.6315
15,equiformer_v2,0,0.829
16,equiformer_v2,0,0.4255
17,equiformer_v2,0,0.676
18,equiformer_v2,0,0.633
19,equiformer_v2,0,0.8465
20,equiformer_v2,0,0.6695
21,equiformer_v2,0,0.8185
22,equiformer_v2,0,0.8175
23,equiformer_v2,0,0.8475
24,equiformer_v2,0,0.839
25,equiformer_v2,0,0.842
26,equiformer_v2,0,0.8485
27,equiformer_v2,0,0.8775
28,equiformer_v2,0,0.8835
