core,parity,variant,threshold,false_flag_mean,false_flag_std
allegro,so3,idealized,0.00464159,0.913000,0.001000
allegro,so3,idealized,0.00681292,0.910667,0.001893
allegro,so3,idealized,0.01,0.909500,0.001500
allegro,so3,idealized,0.014678,0.906333,0.000764
allegro,so3,idealized,0.0215443,0.900500,0.002291
allegro,so3,idealized,0.0316228,0.894333,0.004752
allegro,so3,idealized,0.0464159,0.885833,0.005859
allegro,so3,idealized,0.0681292,0.872333,0.012014
allegro,so3,idealized,0.1,0.855333,0.011004
allegro,so3,idealized,0.14678,0.828000,0.015716
allegro,so3,idealized,0.215443,0.795333,0.018002
allegro,so3,idealized,0.316228,0.747333,0.029540
allegro,so3,idealized,0.464159,0.687000,0.030631
allegro,so3,idealized,0.681292,0.602333,0.037438
allegro,so3,idealized,1,0.480167,0.043279
allegro,so3,raw,0.0001,0.918167,0.001258
allegro,so3,raw,0.00014678,0.917333,0.000577
allegro,so3,raw,0.000215443,0.916833,0.000764
allegro,so3,raw,0.000316228,0.916500,0.000500
allegro,so3,raw,0.000464159,0.916167,0.000289
allegro,so3,raw,0.000681292,0.916000,0.000500
allegro,so3,raw,0.001,0.915667,0.000764
allegro,so3,raw,0.0014678,0.915500,0.000500
allegro,so3,raw,0.00215443,0.914333,0.000577
allegro,so3,raw,0.00316228,0.914167,0.000289
allegro,so3,raw,0.00464159,0.913000,0.001000
allegro,so3,raw,0.00681292,0.910667,0.001893
allegro,so3,raw,0.01,0.909500,0.001500
allegro,so3,raw,0.014678,0.906333,0.000764
allegro,so3,raw,0.0215443,0.900500,0.002291
allegro,so3,raw,0.0316228,0.894333,0.004752
allegro,so3,raw,0.0464159,0.886000,0.005679
allegro,so3,raw,0.0681292,0.872833,0.012014
allegro,so3,raw,0.1,0.855667,0.011015
allegro,so3,raw,0.14678,0.828333,0.015177
allegro,so3,raw,0.215443,0.796667,0.018009
allegro,so3,raw,0.316228,0.749167,0.029412
allegro,so3,raw,0.464159,0.688333,0.030718
allegro,so3,raw,0.681292,0.604500,0.038311
allegro,so3,raw,1,0.483333,0.043337
mace,o3,idealized,0.0001,0.000667,0.000289
mace,o3,idealized,0.00014678,0.000500,0.000000
mace,o3,idealized,0.000215443,0.000500,0.000000
mace,o3,idealized,0.000316228,0.000500,0.000000
mace,o3,idealized,0.000464159,0.000500,0.000000
mace,o3,idealized,0.000681292,0.000500,0.000000
mace,o3,idealized,0.001,0.000333,0.000289
mace,o3,idealized,0.0014678,0.000000,0.000000
mace,o3,idealized,0.00215443,0.000000,0.000000
mace,o3,idealized,0.00316228,0.000000,0.000000
mace,o3,idealized,0.00464159,0.000000,0.000000
mace,o3,idealized,0.00681292,0.000000,0.000000
mace,o3,idealized,0.01,0.000000,0.000000
mace,o3,idealized,0.014678,0.000000,0.000000
mace,o3,idealized,0.0215443,0.000000,0.000000
mace,o3,idealized,0.0316228,0.000000,0.000000
mace,o3,idealized,0.0464159,0.000000,0.000000
mace,o3,idealized,0.0681292,0.000000,0.000000
mace,o3,idealized,0.1,0.000000,0.000000
mace,o3,idealized,0.14678,0.000000,0.000000
mace,o3,idealized,0.215443,0.000000,0.000000
mace,o3,idealized,0.316228,0.000000,0.000000
mace,o3,idealized,0.464159,0.000000,0.000000
mace,o3,idealized,0.681292,0.000000,0.000000
mace,o3,idealized,1,0.000000,0.000000
mace,o3,raw,0.0001,0.028167,0.002466
mace,o3,raw,0.00014678,0.024333,0.002363
mace,o3,raw,0.000215443,0.021833,0.001041
mace,o3,raw,0.000316228,0.018333,0.001258
mace,o3,raw,0.000464159,0.013667,0.001607
mace,o3,raw,0.000681292,0.010333,0.001756
mace,o3,raw,0.001,0.007333,0.001041
mace,o3,raw,0.0014678,0.005500,0.000866
mace,o3,raw,0.00215443,0.003167,0.000764
mace,o3,raw,0.00316228,0.002333,0.000289
mace,o3,raw,0.00464159,0.000667,0.000289
mace,o3,raw,0.00681292,0.000333,0.000289
mace,o3,raw,0.01,0.000333,0.000289
mace,o3,raw,0.014678,0.000167,0.000289
mace,o3,raw,0.0215443,0.000000,0.000000
mace,o3,raw,0.0316228,0.000000,0.000000
mace,o3,raw,0.0464159,0.000000,0.000000
mace,o3,raw,0.0681292,0.000000,0.000000
mace,o3,raw,0.1,0.000000,0.000000
mace,o3,raw,0.14678,0.000000,0.000000
mace,o3,raw,0.215443,0.000000,0.000000
mace,o3,raw,0.316228,0.000000,0.000000
mace,o3,raw,0.464159,0.000000,0.000000
mace,o3,raw,0.681292,0.000000,0.000000
mace,o3,raw,1,0.000000,0.000000
mace,so3,idealized,0.0001,0.916833,0.000289
mace,so3,idealized,0.00014678,0.916667,0.000289
mace,so3,idealized,0.000215443,0.916333,0.000289
mace,so3,idealized,0.000316228,0.916333,0.000289
mace,so3,idealized,0.000464159,0.916167,0.000289
mace,so3,idealized,0.000681292,0.915667,0.000289
mace,so3,idealized,0.001,0.915000,0.000500
mace,so3,idealized,0.0014678,0.914833,0.000764
mace,so3,idealized,0.00215443,0.914000,0.000500
mace,so3,idealized,0.00316228,0.913500,0.000500
mace,so3,idealized,0.00464159,0.912167,0.000764
mace,so3,idealized,0.00681292,0.910000,0.000500
mace,so3,idealized,0.01,0.907667,0.000764
mace,so3,idealized,0.014678,0.903833,0.001041
mace,so3,idealized,0.0215443,0.898667,0.001155
mace,so3,idealized,0.0316228,0.893167,0.004193
mace,so3,idealized,0.0464159,0.883833,0.004252
mace,so3,idealized,0.0681292,0.871833,0.000289
mace,so3,idealized,0.1,0.855000,0.001323
mace,so3,idealized,0.14678,0.831667,0.003253
mace,so3,idealized,0.215443,0.796333,0.006331
mace,so3,idealized,0.316228,0.752833,0.007489
mace,so3,idealized,0.464159,0.688333,0.010004
mace,so3,idealized,0.681292,0.599333,0.017673
mace,so3,idealized,1,0.467167,0.025867
mace,so3,raw,0.0001,0.917333,0.000289
mace,so3,raw,0.00014678,0.916833,0.000289
mace,so3,raw,0.000215443,0.916667,0.000289
mace,so3,raw,0.000316228,0.916667,0.000289
mace,so3,raw,0.000464159,0.916333,0.000289
mace,so3,raw,0.000681292,0.915833,0.000289
mace,so3,raw,0.001,0.915000,0.000500
mace,so3,raw,0.0014678,0.914833,0.000764
mace,so3,raw,0.00215443,0.914000,0.000500
mace,so3,raw,0.00316228,0.913500,0.000500
mace,so3,raw,0.00464159,0.912167,0.000764
mace,so3,raw,0.00681292,0.910000,0.000500
mace,so3,raw,0.01,0.907667,0.000764
mace,so3,raw,0.014678,0.903833,0.001041
mace,so3,raw,0.0215443,0.898667,0.001155
mace,so3,raw,0.0316228,0.893167,0.004193
mace,so3,raw,0.0464159,0.883833,0.004252
mace,so3,raw,0.0681292,0.872000,0.000500
mace,so3,raw,0.1,0.855500,0.001000
mace,so3,raw,0.14678,0.832500,0.003279
mace,so3,raw,0.215443,0.797333,0.006171
mace,so3,raw,0.316228,0.754333,0.008129
mace,so3,raw,0.464159,0.689667,0.010017
mace,so3,raw,0.681292,0.602167,0.016646
mace,so3,raw,1,0.470167,0.025867
equiformer_v2,so3,idealized,0.0001,0.996833,0.000764
equiformer_v2,so3,idealized,0.00014678,0.996833,0.000764
equiformer_v2,so3,idealized,0.000215443,0.996333,0.000289
equiformer_v2,so3,idealized,0.000316228,0.995833,0.000764
equiformer_v2,so3,idealized,0.000464159,0.995167,0.001041
equiformer_v2,so3,idealized,0.000681292,0.993667,0.001893
equiformer_v2,so3,idealized,0.001,0.991833,0.002566
equiformer_v2,so3,idealized,0.0014678,0.989333,0.002363
equiformer_v2,so3,idealized,0.00215443,0.984667,0.004726
equiformer_v2,so3,idealized,0.00316228,0.977167,0.004041
equiformer_v2,so3,idealized,0.00464159,0.969500,0.003969
equiformer_v2,so3,idealized,0.00681292,0.962500,0.003464
equiformer_v2,so3,idealized,0.01,0.957000,0.005220
equiformer_v2,so3,idealized,0.014678,0.946167,0.007816
equiformer_v2,so3,idealized,0.0215443,0.933167,0.011295
equiformer_v2,so3,idealized,0.0316228,0.918167,0.015135
equiformer_v2,so3,idealized,0.0464159,0.894833,0.022485
equiformer_v2,so3,idealized,0.0681292,0.863833,0.029310
equiformer_v2,so3,idealized,0.1,0.823833,0.040393
equiformer_v2,so3,idealized,0.14678,0.771333,0.043762
equiformer_v2,so3,idealized,0.215443,0.710167,0.049011
equiformer_v2,so3,idealized,0.316228,0.607333,0.066337
equiformer_v2,so3,idealized,0.464159,0.479167,0.062870
equiformer_v2,so3,idealized,0.681292,0.349500,0.050067
equiformer_v2,so3,idealized,1,0.220333,0.026539
equiformer_v2,so3,raw,0.0001,0.997000,0.000500
equiformer_v2,so3,raw,0.00014678,0.996500,0.000500
